SerialNum, Co2, Humid, Pm10, Pm5, Temp, Vocs, timeZone, ReportTime, Lat, Long
24:0A:C4:22:41:26,455,45.8,16,16,35.1,9,GMT+09:00,20220719200311 ,37.5635283,127.0476347
24:0A:C4:22:41:26,460,45.8,17,16,35.1,10,GMT+09:00,20220719200312 ,37.5635283,127.0476347
24:0A:C4:22:41:26,455,45.7,17,16,35.1,9,GMT+09:00,20220719200313 ,37.5635283,127.0476347
24:0A:C4:22:41:26,455,45.8,17,16,35.1,9,GMT+09:00,20220719200314 ,37.5635283,127.0476347
24:0A:C4:22:41:26,463,45.8,17,16,35.1,10,GMT+09:00,20220719200315 ,37.5635283,127.0476347
24:0A:C4:22:41:26,460,45.8,16,16,35.1,10,GMT+09:00,20220719200316 ,37.5635283,127.0476347
24:0A:C4:22:41:26,455,45.8,17,16,35.1,9,GMT+09:00,20220719200317 ,37.5635283,127.0476347
24:0A:C4:22:41:26,470,45.8,16,16,35.1,11,GMT+09:00,20220719200318 ,37.5635283,127.0476347
24:0A:C4:22:41:26,460,45.9,17,16,35.1,10,GMT+09:00,20220719200319 ,37.5635283,127.0476347
24:0A:C4:22:41:26,460,45.9,17,16,35.1,10,GMT+09:00,20220719200320 ,37.5635283,127.0476347
24:0A:C4:22:41:26,463,45.8,17,17,35.1,10,GMT+09:00,20220719200321 ,37.5635283,127.0476347
24:0A:C4:22:41:26,460,45.8,17,16,35.1,10,GMT+09:00,20220719200322 ,37.5635283,127.0476347
24:0A:C4:22:41:26,463,45.8,17,16,35.1,10,GMT+09:00,20220719200323 ,37.5635283,127.0476347
24:0A:C4:22:41:26,470,45.8,17,16,35.1,11,GMT+09:00,20220719200324 ,37.5635283,127.0476347
24:0A:C4:22:41:26,463,45.9,16,16,35.1,10,GMT+09:00,20220719200325 ,37.5635283,127.0476347
24:0A:C4:22:41:26,475,45.9,16,15,35.1,12,GMT+09:00,20220719200326 ,37.5635168,127.0476883
24:0A:C4:22:41:26,475,46,16,16,35.1,12,GMT+09:00,20220719200327 ,37.5635168,127.0476883
24:0A:C4:22:41:26,470,46,17,16,35.1,11,GMT+09:00,20220719200328 ,37.5635168,127.0476883
24:0A:C4:22:41:26,475,46,17,17,35.1,12,GMT+09:00,20220719200329 ,37.5635168,127.0476883
24:0A:C4:22:41:26,463,46.1,17,16,35.1,10,GMT+09:00,20220719200330 ,37.5635168,127.0476883
24:0A:C4:22:41:26,470,46,17,16,35.1,11,GMT+09:00,20220719200331 ,37.5635168,127.0476883
24:0A:C4:22:41:26,477,45.9,17,16,35.1,12,GMT+09:00,20220719200332 ,37.5635168,127.0476883
24:0A:C4:22:41:26,470,46,16,16,35.1,11,GMT+09:00,20220719200333 ,37.5635168,127.0476883
24:0A:C4:22:41:26,485,46,16,16,35.1,13,GMT+09:00,20220719200334 ,37.5635168,127.0476883
24:0A:C4:22:41:26,470,46,17,16,35.1,11,GMT+09:00,20220719200335 ,37.5635168,127.0476883
24:0A:C4:22:41:26,475,46,17,16,35.1,12,GMT+09:00,20220719200336 ,37.5635168,127.0476883
24:0A:C4:22:41:26,485,46,16,16,35.1,13,GMT+09:00,20220719200337 ,37.5635168,127.0476883
24:0A:C4:22:41:26,475,46,16,16,35.1,12,GMT+09:00,20220719200338 ,37.5635168,127.0476883
24:0A:C4:22:41:26,485,46,16,16,35.1,13,GMT+09:00,20220719200339 ,37.5635168,127.0476883
24:0A:C4:22:41:26,485,46,16,16,35.1,13,GMT+09:00,20220719200340 ,37.5635168,127.0476883
24:0A:C4:22:41:26,477,45.9,16,16,35.1,12,GMT+09:00,20220719200341 ,37.5635168,127.0476883
24:0A:C4:22:41:26,485,46,16,16,35.1,13,GMT+09:00,20220719200342 ,37.5635168,127.0476883
24:0A:C4:22:41:26,475,46,16,16,35.1,12,GMT+09:00,20220719200343 ,37.5635168,127.0476883
24:0A:C4:22:41:26,477,46,16,15,35.1,12,GMT+09:00,20220719200344 ,37.5635168,127.0476883
24:0A:C4:22:41:26,487,45.9,16,15,35.1,14,GMT+09:00,20220719200345 ,37.5635168,127.0476883
24:0A:C4:22:41:26,485,46,16,15,35.1,13,GMT+09:00,20220719200346 ,37.5634896,127.0477321
24:0A:C4:22:41:26,487,45.9,16,15,35.1,14,GMT+09:00,20220719200347 ,37.5634896,127.0477321
24:0A:C4:22:41:26,485,45.9,16,15,35.1,13,GMT+09:00,20220719200348 ,37.5634896,127.0477321
